Game_ID,Date,Start_Time_ET,Visitor_Team_Name,Visitor_Team_ID,Visitor_PTS,Home_Team_Name,Home_Team_ID,Home_PTS,Box_Score_Link,Arena,Attendance,Notes,Season_End_Year,Home_Win,Point_Differential,Game_Duration
202403170WAS,2024-03-17,6:00p,Boston Celtics,BOS,130,Washington Wizards,WAS,104,/boxscores/202403170WAS.html,Capital One Arena,20333.0,,2024,0,-26,2:12
202403170SAS,2024-03-17,7:00p,Brooklyn Nets,BRK,115,San Antonio Spurs,SAS,122,/boxscores/202403170SAS.html,Moody Center,16057.0,OT,2024,1,7,2:35
202403170LAC,2024-03-17,9:30p,Atlanta Hawks,ATL,110,Los Angeles Clippers,LAC,93,/boxscores/202403170LAC.html,Crypto.com Arena,19370.0,,2024,0,-17,2:08
202403180IND,2024-03-18,7:00p,Cleveland Cavaliers,CLE,108,Indiana Pacers,IND,103,/boxscores/202403180IND.html,Gainbridge Fieldhouse,17274.0,,2024,0,-5,2:17
202403180BOS,2024-03-18,7:30p,Detroit Pistons,DET,94,Boston Celtics,BOS,119,/boxscores/202403180BOS.html,TD Garden,19156.0,,2024,1,25,1:53
202403180PHI,2024-03-18,7:30p,Miami Heat,MIA,91,Philadelphia 76ers,PHI,98,/boxscores/202403180PHI.html,Wells Fargo Center,19782.0,,2024,1,7,2:19
202403180CHI,2024-03-18,8:00p,Portland Trail Blazers,POR,107,Chicago Bulls,CHI,110,/boxscores/202403180CHI.html,United Center,20293.0,,2024,1,3,2:19
202403180UTA,2024-03-18,9:00p,Minnesota Timberwolves,MIN,114,Utah Jazz,UTA,104,/boxscores/202403180UTA.html,Delta Center,18206.0,,2024,0,-10,2:02
202403180GSW,2024-03-18,10:00p,New York Knicks,NYK,119,Golden State Warriors,GSW,112,/boxscores/202403180GSW.html,Chase Center,18064.0,,2024,0,-7,2:18
202403180SAC,2024-03-18,10:00p,Memphis Grizzlies,MEM,111,Sacramento Kings,SAC,121,/boxscores/202403180SAC.html,Golden 1 Center,17832.0,OT,2024,1,10,2:44
202403180LAL,2024-03-18,10:30p,Atlanta Hawks,ATL,105,Los Angeles Lakers,LAL,136,/boxscores/202403180LAL.html,Crypto.com Arena,18997.0,,2024,1,31,1:57
202403190ORL,2024-03-19,7:00p,Charlotte Hornets,CHO,92,Orlando Magic,ORL,112,/boxscores/202403190ORL.html,Kia Center,18846.0,,2024,1,20,2:01
202403190WAS,2024-03-19,7:00p,Houston Rockets,HOU,137,Washington Wizards,WAS,114,/boxscores/202403190WAS.html,Capital One Arena,14137.0,,2024,0,-23,2:11
202403190BRK,2024-03-19,7:30p,New Orleans Pelicans,NOP,104,Brooklyn Nets,BRK,91,/boxscores/202403190BRK.html,Barclays Center,17732.0,,2024,0,-13,2:05
202403190SAS,2024-03-19,8:00p,Dallas Mavericks,DAL,113,San Antonio Spurs,SAS,107,/boxscores/202403190SAS.html,Frost Bank Center,18354.0,,2024,0,-6,2:13
202403190MIN,2024-03-19,9:00p,Denver Nuggets,DEN,115,Minnesota Timberwolves,MIN,112,/boxscores/202403190MIN.html,Target Center,18024.0,,2024,0,-3,2:12
202403200CLE,2024-03-20,7:00p,Miami Heat,MIA,107,Cleveland Cavaliers,CLE,104,/boxscores/202403200CLE.html,Rocket Mortgage Fieldhouse,19432.0,,2024,0,-3,2:14
202403200DET,2024-03-20,7:00p,Indiana Pacers,IND,122,Detroit Pistons,DET,103,/boxscores/202403200DET.html,Little Caesars Arena,19897.0,,2024,0,-19,2:09
